rank,rank_change,npsn,sekolah,nilai_total,provinsi,kota_kab,jenis_sekolah
240,-174,20501706,SMAN 1 SIDOARJO ,"555,465",Prov. Jawa Timur,Kab. Sidoarjo,SMA
241,-139,20505009,SMAN 1 TUBAN ,"555,419",Prov. Jawa Timur,Kab. Tuban,SMA
242,89,20603342,SMAS ISLAM AL-AZHAR BSD ,"555,363",Prov. Banten,Kota Tangerang Selatan,SMA
243,211,20102566,SMAN 82 JAKARTA ,"555,318",Prov. D.K.I. Jakarta,Kota Jakarta Selatan,SMA
244,77,69786332,SMA ISLAM TERPADU AL USWAH ,"555,238",Prov. Jawa Timur,Kota Surabaya,SMA
245,-146,20327968,SMAN 3 SURAKARTA ,"555,114",Prov. Jawa Tengah,Kota Surakarta,SMA
246,125,20100797,SMAN 52 JAKARTA ,"554,857",Prov. D.K.I. Jakarta,Kota Jakarta Utara,SMA
247,193,40301037,SMAN 5 GOWA ,"554,779",Prov. Sulawesi Selatan,Kab. Gowa,SMA
248,-66,20511965,SMAN 2 PARE ,"554,723",Prov. Jawa Timur,Kab. Kediri,SMA
249,37,20400390,SMA NEGERI 1 KASIHAN ,"554,651",Prov. D.I. Yogyakarta,Kab. Bantul,SMA
250,107,20276416,SMAS LABSCHOOL CIBUBUR ,"554,577",Prov. Jawa Barat,Kota Bekasi,SMA
251,248,20100780,SMAN 80 JAKARTA ,"554,308",Prov. D.K.I. Jakarta,Kota Jakarta Utara,SMA
252,-42,20341554,SMAS IT NURHIDAYAH ,"553,896",Prov. Jawa Tengah,Kab. Sukoharjo,SMA
253,134,20102572,SMAN 63 JAKARTA ,"553,776",Prov. D.K.I. Jakarta,Kota Jakarta Selatan,SMA
254,424,30401787,SMAS YAYASAN PENDIDIKAN VIDYA DAHANA PATRA ,"553,634",Prov. Kalimantan Timur,Kota Bontang,SMA
255,101,69816259,SMA IBNU HAJAR BOARDING SCHOOL ,"553,583",Prov. Jawa Barat,Kota Depok,SMA
256,185,20102213,SMAN 37 JAKARTA ,"553,468",Prov. D.K.I. Jakarta,Kota Jakarta Selatan,SMA
257,144,20603371,SMAS PLUS PEMBANGUNAN JAYA ,"553,355",Prov. Banten,Kota Tangerang Selatan,SMA
258,-141,20328894,SMA NEGERI 04 ,"552,690",Prov. Jawa Tengah,Kota Semarang,SMA
259,-44,20606833,SMAS STRADA ST AQUINO ,"552,610",Prov. Banten,Kota Tangerang,SMA
260,77,20253167,SMAS ISLAM AL-AZHAR 4 ,"552,460",Prov. Jawa Barat,Kota Bekasi,SMA
261,-64,20320242,SMA NEGERI 1 UNGARAN ,"552,383",Prov. Jawa Tengah,Kab. Semarang,SMA
262,-11,20536288,SMAN 1 PROBOLINGGO ,"552,358",Prov. Jawa Timur,Kota Probolinggo,SMA
263,11,20327972,SMAN 7 SURAKARTA ,"552,217",Prov. Jawa Tengah,Kota Surakarta,SMA
264,15,20328892,SMA NEGERI 06 ,"551,988",Prov. Jawa Tengah,Kota Semarang,SMA
265,407,20112433,SMAS JAKARTA ISLAMIC SCHOOL ,"551,933",Prov. D.K.I. Jakarta,Kota Jakarta Timur,SMA
266,-32,20536817,SMAN 1 BATU ,"551,751",Prov. Jawa Timur,Kota Batu,SMA
267,41,20502726,SMAN 1 PURI ,"551,602",Prov. Jawa Timur,Kab. Mojokerto,SMA
268,330,10263550,SMAN 2 LINTONGNIHUTA ,"551,531",Prov. Sumatera Utara,Kab. Humbang Hasudutan,SMA
269,-61,10263742,MAS PERGURUAN ISLAM AR RISALAH ,"551,380",Prov. Sumatera Barat,Kota Padang,MA
270,157,20101586,SMAN 85 JAKARTA ,"550,803",Prov. D.K.I. Jakarta,Kota Jakarta Barat,SMA
271,290,20102210,SMAN 46 JAKARTA ,"550,797",Prov. D.K.I. Jakarta,Kota Jakarta Selatan,SMA
272,190,20337604,SMK NEGERI 7 SEMARANG ,"550,412",Prov. Jawa Tengah,Kota Semarang,SMK
273,-10,69929336,SMA SCIENCE PLUS BAITUL QURAN BOARDING SCHOOL ,"550,368",Prov. Jawa Tengah,Kab. Sragen,SMA
274,308,20580757,MAS UNGGULAN AMANATUL UMMAH SURABAYA ,"550,310",Prov. Jawa Timur,Kota Surabaya,MA
275,408,20103280,SMAN 36 JAKARTA ,"550,046",Prov. D.K.I. Jakarta,Kota Jakarta Timur,SMA
276,-70,20515430,SMAN 1 KEDUNGWARU ,"549,875",Prov. Jawa Timur,Kab. Tulungagung,SMA
277,12,10261532,SMA UNGGULAN CT FOUNDATION ,"549,612",Prov. Sumatera Utara,Kab. Deli Serdang,SMA
278,-16,20533640,SMAN 8 ,"549,545",Prov. Jawa Timur,Kota Malang,SMA
279,15,20534389,SMAN 1 KEDIRI ,"549,496",Prov. Jawa Timur,Kota Kediri,SMA
280,96,20102562,SMAN 97 JAKARTA ,"549,436",Prov. D.K.I. Jakarta,Kota Jakarta Selatan,SMA
281,154,20100224,SMAN 30 JAKARTA ,"549,272",Prov. D.K.I. Jakarta,Kota Jakarta Pusat,SMA
282,1,69964214,SMA NEGERI TARUNA NALA JAWA TIMUR ,"549,101",Prov. Jawa Timur,Kota Malang,SMA
283,7,20309689,SMAN 2 KLATEN ,"549,003",Prov. Jawa Tengah,Kab. Klaten,SMA
284,-24,20223817,SMAN 3 KOTA DEPOK ,"548,737",Prov. Jawa Barat,Kota Depok,SMA
285,103,20200686,SMAS DWI WARNA ,"548,682",Prov. Jawa Barat,Kab. Bogor,SMA
286,-58,10307799,SMAN 3 BATU SANGKAR ,"548,671",Prov. Sumatera Barat,Kab. Tanah Datar,SMA
287,447,69976449,MAN INSAN CENDEKIA SAMBAS ,"548,391",Prov. Kalimantan Barat,Kab. Sambas,MA
288,54,20314885,SMAN 1 BLORA ,"548,159",Prov. Jawa Tengah,Kab. Blora,SMA
289,-78,20510150,SMAN 1 PONOROGO ,"548,078",Prov. Jawa Timur,Kab. Ponorogo,SMA
290,550,20102565,SMAN 86 JAKARTA ,"548,047",Prov. D.K.I. Jakarta,Kota Jakarta Selatan,SMA
291,-159,20220332,SMAN 3 BOGOR ,"547,727",Prov. Jawa Barat,Kota Bogor,SMA
292,163,10210873,SMAN 1 MEDAN ,"547,702",Prov. Sumatera Utara,Kota Medan,SMA
293,16,20200681,SMAN 1 CILEUNGSI ,"547,696",Prov. Jawa Barat,Kab. Bogor,SMA
294,397,20229161,SMAS MARDI YUANA PANCORAN MAS ,"547,685",Prov. Jawa Barat,Kota Depok,SMA
295,-23,20328913,SMA SEDES SAPIENTIAE ,"547,640",Prov. Jawa Tengah,Kota Semarang,SMA
296,19,20328449,SMAN 3 SALATIGA ,"547,430",Prov. Jawa Tengah,Kota Salatiga,SMA
297,46,20223046,SMAN 3 BEKASI ,"547,348",Prov. Jawa Barat,Kota Bekasi,SMA
298,-99,20219254,SMAN 2 BANDUNG ,"547,329",Prov. Jawa Barat,Kota Bandung,SMA
299,-190,20400381,SMA NEGERI 2 BANTUL ,"547,292",Prov. D.I. Yogyakarta,Kab. Bantul,SMA
300,112,20331978,SMAN 2 MAGELANG ,"547,177",Prov. Jawa Tengah,Kota Magelang,SMA
301,2,20219241,SMAN 12 BANDUNG ,"546,928",Prov. Jawa Barat,Kota Bandung,SMA
302,30,30401809,SMAS YAYASAN PUPUK KALTIM BONTANG ,"546,920",Prov. Kalimantan Timur,Kota Bontang,SMA
303,107,20103286,SMAN 113 JAKARTA ,"546,862",Prov. D.K.I. Jakarta,Kota Jakarta Timur,SMA
304,248,69774555,SMA ISLAM AL-AZHAR 8 ,"546,680",Prov. Jawa Barat,Kota Bekasi,SMA
305,268,20103305,SMAN 64 JAKARTA ,"546,571",Prov. D.K.I. Jakarta,Kota Jakarta Timur,SMA
306,-205,20328867,SMA NEGERI 01 ,"546,387",Prov. Jawa Tengah,Kota Semarang,SMA
307,-70,20224139,SMA NEGERI 2 CIMAHI ,"546,218",Prov. Jawa Barat,Kota Cimahi,SMA
308,-35,20315697,SMA NEGERI 1 REMBANG ,"545,989",Prov. Jawa Tengah,Kab. Rembang,SMA
309,231,20220273,SMKN 1 BOGOR ,"545,822",Prov. Jawa Barat,Kota Bogor,SMK
310,-118,11002197,SMAN 3 BATAM ,"545,754",Prov. Kepulauan Riau,Kota Batam,SMA
311,-115,20330281,SMAN 1 GOMBONG ,"545,669",Prov. Jawa Tengah,Kab. Kebumen,SMA
312,38,20401315,SMKN 2 DEPOK ,"545,668",Prov. D.I. Yogyakarta,Kab. Sleman,SMK
313,-142,20325299,SMAN 1 SLAWI ,"545,646",Prov. Jawa Tengah,Kab. Tegal,SMA
314,-39,20502727,SMAN 1 SOOKO ,"545,629",Prov. Jawa Timur,Kab. Mojokerto,SMA
315,92,40307369,SMAS KATOLIK RAJAWALI ,"545,544",Prov. Sulawesi Selatan,Kota Makassar,SMA
316,2,20514344,SMAN 1 TALUN ,"545,076",Prov. Jawa Timur,Kab. Blitar,SMA
317,-153,20525854,SMAN 1 GENTENG ,"545,046",Prov. Jawa Timur,Kab. Banyuwangi,SMA
318,54,20363283,MAS MUALLIMAAT MUHAMMADIYAH ,"545,019",Prov. D.I. Yogyakarta,Kota Yogyakarta,MA
319,439,20623275,MAN 2 KOTA SERANG ,"544,943",Prov. Banten,Kota Serang,MA
320,209,20103308,SMAN 59 JAKARTA ,"544,937",Prov. D.K.I. Jakarta,Kota Jakarta Timur,SMA
321,229,20101585,SMAN 94 JAKARTA ,"544,915",Prov. D.K.I. Jakarta,Kota Jakarta Barat,SMA
322,120,20321425,SMK NEGERI 1 TEMANGGUNG ,"544,864",Prov. Jawa Tengah,Kab. Temanggung,SMK
323,397,20101584,SMAN 95 JAKARTA ,"544,783",Prov. D.K.I. Jakarta,Kota Jakarta Barat,SMA
324,147,20363211,MAS AL IRSYAD ,"544,516",Prov. Jawa Tengah,Kab. Semarang,MA
325,-113,20303987,SMAN 1 BANJARNEGARA ,"544,487",Prov. Jawa Tengah,Kab. Banjarnegara,SMA
326,175,69946479,SMA EDU GLOBAL ,"544,444",Prov. Jawa Barat,Kota Bandung,SMA
327,137,20103297,SMAN 42 JAKARTA ,"544,251",Prov. D.K.I. Jakarta,Kota Jakarta Timur,SMA
328,55,20505008,SMAN 2 TUBAN ,"544,033",Prov. Jawa Timur,Kab. Tuban,SMA
329,579,69977033,SMA Islam Al Azhar 19 ,"543,960",Prov. D.K.I. Jakarta,Kota Jakarta Timur,SMA
330,127,20103291,SMAN 104 JAKARTA ,"543,892",Prov. D.K.I. Jakarta,Kota Jakarta Timur,SMA
331,-77,20306176,SMAN 2 PURWOREJO ,"543,803",Prov. Jawa Tengah,Kab. Purworejo,SMA
332,200,20400374,SMA NEGERI 1 PUNDONG ,"543,499",Prov. D.I. Yogyakarta,Kab. Bantul,SMA
333,-22,20269747,SMA NURUL FIKRI BOARDING SCHOOL LEMBANG ,"543,489",Prov. Jawa Barat,Kab. Bandung Barat,SMA
334,-248,20500479,SMAN 1 GRESIK ,"543,396",Prov. Jawa Timur,Kab. Gresik,SMA
335,-202,20532242,SMAN 1 SURABAYA ,"543,168",Prov. Jawa Timur,Kota Surabaya,SMA
336,635,10816430,MAN 2 PONTIANAK ,"543,166",Prov. Kalimantan Barat,Kota Pontianak,MA
337,59,20310425,SMAN 1 KARTASURA ,"543,097",Prov. Jawa Tengah,Kab. Sukoharjo,SMA
338,294,20103300,SMAN 88 JAKARTA ,"542,996",Prov. D.K.I. Jakarta,Kota Jakarta Timur,SMA
339,-146,20219309,SMAN 5 BANDUNG ,"542,935",Prov. Jawa Barat,Kota Bandung,SMA
340,128,20500477,SMAN 1 MANYAR ,"542,802",Prov. Jawa Timur,Kab. Gresik,SMA
341,-97,20309680,SMAN 1 KARANGANOM ,"542,701",Prov. Jawa Tengah,Kab. Klaten,SMA
342,36,20212956,SMA NEGERI 2 KUNINGAN ,"542,588",Prov. Jawa Barat,Kab. Kuningan,SMA
343,242,20100211,SMAN 4 JAKARTA ,"542,431",Prov. D.K.I. Jakarta,Kota Jakarta Pusat,SMA
344,437,20328448,SMAN 2 SALATIGA ,"542,397",Prov. Jawa Tengah,Kota Salatiga,SMA
345,-19,20307714,SMAN 1 KOTA MUNGKID ,"542,348",Prov. Jawa Tengah,Kab. Magelang,SMA
346,380,10403792,SMAN PINTAR ,"542,295",Prov. Riau,Kab. Kuantan Singingi,SMA
347,-117,20218351,SMAN 1 TAMBUN SELATAN ,"542,223",Prov. Jawa Barat,Kab. Bekasi,SMA
348,-49,20238516,SMAN 2 BOGOR ,"542,172",Prov. Jawa Barat,Kota Bogor,SMA
349,-182,20533667,SMAN 4 ,"542,106",Prov. Jawa Timur,Kota Malang,SMA
350,-12,20219271,SMAN 1 BANDUNG ,"542,105",Prov. Jawa Barat,Kota Bandung,SMA
351,168,20532231,SMAN 20 SURABAYA ,"542,075",Prov. Jawa Timur,Kota Surabaya,SMA
352,8,69986335,SMA IT AT TAUFIQ ,"542,020",Prov. Jawa Barat,Kota Bogor,SMA
353,65,20532246,SMAN 13 SURABAYA ,"541,829",Prov. Jawa Timur,Kota Surabaya,SMA
354,143,20533661,SMAN 10 ,"541,794",Prov. Jawa Timur,Kota Malang,SMA
355,-195,20223044,SMAN 5 BEKASI ,"541,712",Prov. Jawa Barat,Kota Bekasi,SMA
356,283,20517786,SMAS AR ROHMAH DAU ,"541,685",Prov. Jawa Timur,Kab. Malang,SMA
357,116,20328939,SMA NEGERI 09 ,"541,654",Prov. Jawa Tengah,Kota Semarang,SMA
358,323,10400870,SMAS CENDANA MANDAU ,"541,410",Prov. Riau,Kab. Bengkalis,SMA
359,-156,20354028,SMAN 1 SRAGEN ,"541,397",Prov. Jawa Tengah,Kab. Sragen,SMA
360,91,30401487,SMAN 5 BALIKPAPAN SELATAN ,"541,352",Prov. Kalimantan Timur,Kota Balikpapan,SMA
361,305,50103181,SMAS K SANTO YOSEPH DENPASAR ,"541,318",Prov. Bali,Kota Denpasar,SMA
362,-,20517733,SMAN 1 SINGOSARI ,"541,255",Prov. Jawa Timur,Kab. Malang,SMA
363,1,20503413,SMA NEGERI 3 JOMBANG ,"541,209",Prov. Jawa Timur,Kab. Jombang,SMA
364,-131,20311334,SMAN 1 WONOGIRI ,"541,200",Prov. Jawa Tengah,Kab. Wonogiri,SMA
365,-21,20519299,SMAN 1 PANDAAN ,"541,115",Prov. Jawa Timur,Kab. Pasuruan,SMA
366,292,20100212,SMAN 35 JAKARTA ,"541,114",Prov. D.K.I. Jakarta,Kota Jakarta Pusat,SMA
367,410,30201848,SMAN 1 PANGKALAN BUN ,"540,959",Prov. Kalimantan Tengah,Kab. Kotawaringin Barat,SMA
368,16,11000360,SMAN 1 BATAM ,"540,922",Prov. Kepulauan Riau,Kota Batam,SMA
369,60,20501705,SMAN 1 TAMAN ,"540,867",Prov. Jawa Timur,Kab. Sidoarjo,SMA
370,-82,20580089,MAN 1 KOTA MALANG ,"540,773",Prov. Jawa Timur,Kota Malang,MA
371,143,10210903,SMAS METHODIST 2 MEDAN ,"540,762",Prov. Sumatera Utara,Kota Medan,SMA
372,28,20310421,SMAN 3 SUKOHARJO ,"540,746",Prov. Jawa Tengah,Kab. Sukoharjo,SMA
373,-96,20253130,SMAS IT AL BINA ,"540,738",Prov. Jawa Barat,Kab. Bekasi,SMA
374,251,69883506,SMA GARUDA CENDEKIA ,"540,648",Prov. D.K.I. Jakarta,Kota Jakarta Selatan,SMA
375,-58,20219253,SMAN 20 BANDUNG ,"540,343",Prov. Jawa Barat,Kota Bandung,SMA
376,17,20411891,MAN 3 SLEMAN ,"540,274",Prov. D.I. Yogyakarta,Kab. Sleman,MA
377,414,69897124,SMA ISLAM AL AZHAR 14 ,"540,213",Prov. Jawa Tengah,Kota Semarang,SMA
378,-,69956310,MAN INSAN CENDEKIA ACEH TIMUR ,"540,132",Prov. Aceh,Kab. Aceh Timur,MA
379,-124,20219312,SMAN 4 BANDUNG ,"540,055",Prov. Jawa Barat,Kota Bandung,SMA
380,294,20533639,SMAN 7 ,"539,963",Prov. Jawa Timur,Kota Malang,SMA
381,-22,20320387,SMA NEGERI 1 AMBARAWA ,"539,939",Prov. Jawa Tengah,Kab. Semarang,SMA
382,335,69829549,SMA SYUBBANUL WATHON ,"539,730",Prov. Jawa Tengah,Kab. Magelang,SMA
383,31,20328879,SMA NEGERI 11 ,"539,726",Prov. Jawa Tengah,Kota Semarang,SMA
384,-155,20238517,SMAN 5 BOGOR ,"539,703",Prov. Jawa Barat,Kota Bogor,SMA
385,217,20403227,SMAS BOPKRI 1 ,"539,669",Prov. D.I. Yogyakarta,Kota Yogyakarta,SMA
386,70,20532217,SMAN 17 SURABAYA ,"539,665",Prov. Jawa Timur,Kota Surabaya,SMA
387,-52,20514347,SMAN 1 SRENGAT ,"539,545",Prov. Jawa Timur,Kab. Blitar,SMA
388,186,60724851,SMAS MUHAMMADIYAH BOARDING SCHOOL (MBS) SLEMAN ,"539,441",Prov. D.I. Yogyakarta,Kab. Sleman,SMA
389,-223,50103124,SMAN 4 DENPASAR ,"539,415",Prov. Bali,Kota Denpasar,SMA
390,29,30401067,SMA Negeri 10 Samarinda ,"539,316",Prov. Kalimantan Timur,Kota Samarinda,SMA
391,92,69859740,SMA ISLAM SABILILLAH ,"539,088",Prov. Jawa Timur,Kota Malang,SMA
392,141,20328898,SMA NEGERI 15 ,"539,080",Prov. Jawa Tengah,Kota Semarang,SMA
393,-134,69762788,SMAN 3 TARUTUNG ,"538,798",Prov. Sumatera Utara,Kab. Tapanuli Utara,SMA
394,493,20220322,SMAS BINA INSANI ,"538,714",Prov. Jawa Barat,Kota Bogor,SMA
395,126,20400380,SMA NEGERI 2 BANGUNTAPAN ,"538,682",Prov. D.I. Yogyakarta,Kab. Bantul,SMA
396,-4,20404171,SMAS IT ABU BAKAR ,"538,667",Prov. D.I. Yogyakarta,Kota Yogyakarta,SMA
397,-101,20532247,SMAN 4 SURABAYA ,"538,592",Prov. Jawa Timur,Kota Surabaya,SMA
398,90,20102564,SMAN 87 JAKARTA ,"538,477",Prov. D.K.I. Jakarta,Kota Jakarta Selatan,SMA
399,351,20257102,SMAS IT THORIQ BIN ZIYAD ,"538,294",Prov. Jawa Barat,Kab. Bekasi,SMA
400,82,20328891,SMA NEGERI 07 ,"538,248",Prov. Jawa Tengah,Kota Semarang,SMA
401,73,20330331,SMKN 1 KARANGANYAR ,"538,187",Prov. Jawa Tengah,Kab. Kebumen,SMK
402,113,10303500,SMAN 3 PADANG ,"538,126",Prov. Sumatera Barat,Kota Padang,SMA
403,-186,20533653,SMAN 5 ,"538,075",Prov. Jawa Timur,Kota Malang,SMA
404,45,20224113,SMA NEGERI 1 CIMAHI ,"537,962",Prov. Jawa Barat,Kota Cimahi,SMA
405,90,10603853,SMA NEGERI 06 PALEMBANG ,"537,797",Prov. Sumatera Selatan,Kota Palembang,SMA
406,-,70006118,SMA STRADA BHAKTI WIYATA ,"537,763",Prov. Jawa Barat,Kota Bekasi,SMA
407,69,20507733,SMAN 1 MEJAYAN ,"537,663",Prov. Jawa Timur,Kab. Madiun,SMA
408,69,20402788,SMK NEGERI 1 PENGASIH ,"537,653",Prov. D.I. Yogyakarta,Kab. Kulon Progo,SMK
409,-96,50102079,SMAN 1 GIANYAR ,"537,563",Prov. Bali,Kab. Gianyar,SMA
410,-25,20402128,SMKN 1 WONOSARI ,"537,502",Prov. D.I. Yogyakarta,Kab. Gunung Kidul,SMK
411,-,69967607,SMA AL-AZHAR SYIFA BUDI SOLO ,"537,462",Prov. Jawa Tengah,Kota Surakarta,SMA
412,-156,20603368,SMAN 3 KOTA TANGERANG SELATAN ,"537,388",Prov. Banten,Kota Tangerang Selatan,SMA
413,12,20401133,SMAN 2 SLEMAN ,"537,326",Prov. D.I. Yogyakarta,Kab. Sleman,SMA
414,2,20224124,SMA SANTA MARIA 3 ,"537,088",Prov. Jawa Barat,Kota Cimahi,SMA
415,-,69937250,SPM  ULYA KULLIYATUL MU`ALLIMIN AL-ISLAMIYAH (KMI) PP MODERN GONTOR PONOROGO ,"537,087",Prov. Jawa Timur,Kab. Ponorogo,Paket C
416,-,20277093,MAN 1 KOTA BEKASI ,"537,079",Prov. Jawa Barat,Kota Bekasi,MA
417,-55,20219243,SMAN 11 BANDUNG ,"537,049",Prov. Jawa Barat,Kota Bandung,SMA
418,318,20177927,MAN 7 JAKARTA ,"537,034",Prov. D.K.I. Jakarta,Kota Jakarta Selatan,MA
419,-33,40310832,SMA NEGERI 5 PAREPARE ,"536,964",Prov. Sulawesi Selatan,Kota Parepare,SMA
420,-,20219738,SMAS BPI 1 BANDUNG ,"536,937",Prov. Jawa Barat,Kota Bandung,SMA
421,149,20103289,SMAN 106 JAKARTA ,"536,893",Prov. D.K.I. Jakarta,Kota Jakarta Timur,SMA
422,112,20403157,SMAS MUHAMMADIYAH 1 YOGYAKARTA ,"536,876",Prov. D.I. Yogyakarta,Kota Yogyakarta,SMA
423,-248,20223818,SMAN 2 KOTA DEPOK ,"536,735",Prov. Jawa Barat,Kota Depok,SMA
424,-3,50103127,SMAN 1 DENPASAR ,"536,683",Prov. Bali,Kota Denpasar,SMA
425,-89,20501701,SMAN 3 SIDOARJO ,"536,623",Prov. Jawa Timur,Kab. Sidoarjo,SMA
426,-,69960983,SMA ISLAM TERPADU AULIYA ,"536,610",Prov. Banten,Kota Tangerang Selatan,SMA
427,359,20580291,MAN 1 JEMBER ,"536,520",Prov. Jawa Timur,Kab. Jember,MA
428,371,20102215,SMAN 32 JAKARTA ,"536,506",Prov. D.K.I. Jakarta,Kota Jakarta Selatan,SMA
429,-99,20527233,SMAN 1 PAMEKASAN ,"536,406",Prov. Jawa Timur,Kab. Pamekasan,SMA
430,-36,20308448,SMAN 3 BOYOLALI ,"536,343",Prov. Jawa Tengah,Kab. Boyolali,SMA
431,-,20220330,SMAS YPHB ,"536,269",Prov. Jawa Barat,Kota Bogor,SMA
432,123,60726806,SMAIT INSANTAMA PLUS ,"536,263",Prov. Jawa Barat,Kota Bogor,SMA
433,79,20220325,SMAS BUDI MULIA ,"536,162",Prov. Jawa Barat,Kota Bogor,SMA
434,24,10107194,SMAN 10 FAJAR HARAPAN BANDA ACEH ,"536,130",Prov. Aceh,Kota Banda Aceh,SMA
435,-259,30105210,SMAN 1 PONTIANAK ,"536,128",Prov. Kalimantan Barat,Kota Pontianak,SMA
436,42,69823287,SMA AL-ABIDIN BILINGUAL BOARDING SCHOOL ,"536,117",Prov. Jawa Tengah,Kota Surakarta,SMA
437,372,20103313,SMAN 50 JAKARTA ,"536,095",Prov. D.K.I. Jakarta,Kota Jakarta Timur,SMA
438,-2,20363060,MAN 1 SURAKARTA ,"535,911",Prov. Jawa Tengah,Kota Surakarta,MA
439,100,10303499,SMAN 2 PADANG ,"535,884",Prov. Sumatera Barat,Kota Padang,SMA
440,177,20306811,SMK NEGERI 1 WONOSOBO ,"535,835",Prov. Jawa Tengah,Kab. Wonosobo,SMK
441,208,20103287,SMAN 11 JAKARTA ,"535,805",Prov. D.K.I. Jakarta,Kota Jakarta Timur,SMA
442,-166,20532263,SMAN 9 SURABAYA ,"535,660",Prov. Jawa Timur,Kota Surabaya,SMA
443,542,11002256,SMAN 1 BINTAN UTARA ,"535,594",Prov. Kepulauan Riau,Kab. Bintan,SMA
444,113,20517736,SMAN 1 TUMPANG ,"535,581",Prov. Jawa Timur,Kab. Malang,SMA
445,-7,20363284,MAS MUALLIMIN MUHAMMADIYAH ,"535,436",Prov. D.I. Yogyakarta,Kota Yogyakarta,MA
446,-,20328920,SMA ISLAM HIDAYATULLAH ,"535,385",Prov. Jawa Tengah,Kota Semarang,SMA
447,-67,20400371,SMA NEGERI 1 SEWON ,"535,336",Prov. D.I. Yogyakarta,Kab. Bantul,SMA
448,-28,20533641,SMAN 9 Malang ,"535,334",Prov. Jawa Timur,Kota Malang,SMA
449,145,69987117,MAN INSAN CENDEKIA TAPANULI SELATAN ,"535,246",Prov. Sumatera Utara,Kab. Tapanuli Selatan,MA
