rank,rank_change,npsn,sekolah,nilai_total,provinsi,kota_kab,jenis_sekolah
679,-247,20323398,SMA NEGERI 1 KAJEN ,"524,182",Prov. Jawa Tengah,Kab. Pekalongan,SMA
680,-,20177960,MAN 9 JAKARTA ,"524,168",Prov. D.K.I. Jakarta,Kota Jakarta Timur,MA
681,-257,20303231,SMAN 1 BOBOTSARI ,"524,154",Prov. Jawa Tengah,Kab. Purbalingga,SMA
682,85,20541242,SMAN 1 SUMBERREJO ,"524,112",Prov. Jawa Timur,Kab. Bojonegoro,SMA
683,-70,30304598,SMAN 2 BANJARBARU ,"524,030",Prov. Kalimantan Selatan,Kota Banjarbaru,SMA
684,29,20606289,SMAN 1 CILEGON ,"524,009",Prov. Banten,Kota Cilegon,SMA
685,-215,40311951,SMAN 17 MAKASSAR ,"523,966",Prov. Sulawesi Selatan,Kota Makassar,SMA
686,-36,20532243,SMAN 10 SURABAYA ,"523,962",Prov. Jawa Timur,Kota Surabaya,SMA
687,-184,20223043,SMAN 6 BEKASI ,"523,953",Prov. Jawa Barat,Kota Bekasi,SMA
688,14,20103312,SMAN 51 JAKARTA ,"523,942",Prov. D.K.I. Jakarta,Kota Jakarta Timur,SMA
